note0_scaleDegree,note0_beatStrength,note0_duration,note0_beat,note0_measure,note1_scaleDegree,note1_beatStrength,note1_duration,note1_beat,note1_measure,note2_scaleDegree,note2_beatStrength,note2_duration,note2_beat,note2_measure,note3_scaleDegree,note3_beatStrength,note3_duration,note3_beat,note3_measure,prevChord0,prevChord1,prevChord2,targetChord
7,0.25,2.0,4.0,8,3,0.25,1.0,2.0,9,4,0.5,1.0,3.0,9,3,0.25,2.0,4.0,9,1_major,6_minor,5_major,1_major
3,0.25,1.0,2.0,9,4,0.5,1.0,3.0,9,3,0.25,2.0,4.0,9,2,1.0,1.0,1.0,10,6_minor,5_major,1_major,6_minor
6,0.5,1.0,3.0,6,3,0.25,1.0,4.0,6,4,1.0,1.0,1.0,7,3,0.25,1.0,2.0,7,1_minor,7_major,1_minor,5_major
3,0.25,1.0,4.0,6,4,1.0,1.0,1.0,7,3,0.25,1.0,2.0,7,2,0.5,1.0,3.0,7,7_major,1_minor,5_major,1_minor
6,1.0,2.0,1.0,5,1,0.5,1.0,3.0,5,6,0.25,1.0,4.0,5,6,1.0,2.0,1.0,6,5_major,1_minor,5_minor,5_major
1,0.5,1.0,3.0,5,6,0.25,1.0,4.0,5,6,1.0,2.0,1.0,6,3,0.5,1.0,3.0,6,1_minor,5_minor,5_major,1_minor
3,1.0,0.5,1.0,3,4,0.125,0.5,1.5,3,5,0.25,1.0,2.0,3,6,0.5,1.0,3.0,3,6_minor,4_major,1_major,4_major
4,0.125,0.5,1.5,3,5,0.25,1.0,2.0,3,6,0.5,1.0,3.0,3,5,0.25,0.5,4.0,3,4_major,1_major,4_major,7_major
2,0.5,1.0,3.0,3,2,0.5,0.5,3.0,3,1,0.125,0.5,4.5,3,7,1.0,1.0,1.0,4,6_major,3_major,4_minor,1_minor
2,0.5,0.5,3.0,3,1,0.125,0.5,4.5,3,7,1.0,1.0,1.0,4,1,0.25,1.0,2.0,4,3_major,4_minor,1_minor,5_minor
